singular,plural,past
augments,augment,augmented
augurs,augur,augured
authenticates,authenticate,authenticated
authorizes,authorize,authorized
authors,author,authored
autographs,autograph,autographed
autopsies,autopsy,autopsied
avails,avail,availed
avalanches,avalanche,avalanched
avenges,avenge,avenged
averages,average,averaged
avers,aver,averred
averts,avert,averted
avoids,avoid,avoided
avows,avow,avowed
awaits,await,awaited
awakens,awaken,awakened
awakes,awake,awoke
awards,award,awarded
awes,awe,awed
axes,ax,axed
babbles,babble,babbled
babies,baby,babied
backbites,backbite,backbit
backboards,backboard,backboarded
backdrops,backdrop,backdropped
backfires,backfire,backfired
backgrounds,background,backgrounded
backlogs,backlog,backlogged
backpedals,backpedal,backpedaled
backs,back,backed
backslides,backslide,backslid
backspaces,backspace,backspaced
backstops,backstop,backstopped
backtracks,backtrack,backtracked
backwashes,backwash,backwashed
badgers,badger,badgered
badges,badge,badged
baffles,baffle,baffled
bags,bag,bagged
bails,bail,bailed
baits,bait,baited
bakes,bake,baked
balances,balance,balanced
bales,bale,baled
balks,balk,balked
ballasts,ballast,ballasted
balloons,balloon,ballooned
ballots,ballot,balloted
balls,ball,balled
ballyhoos,ballyhoo,ballyhooed
bamboozles,bamboozle,bamboozled
bandages,bandage,bandaged
bandies,bandy,bandied
bands,band,banded
bangs,bang,banged
banishes,banish,banished
bankrupts,bankrupt,bankrupted
banks,bank,banked
banquets,banquet,banqueted
bans,ban,banned
banters,banter,bantered
baptizes,baptize,baptized
barbecues,barbecue,barbecued
barbers,barber,barbered
barbs,barb,barbed
bards,bard,barded
bares,bare,bared
bargains,bargain,bargained
barges,barge,barged
barks,bark,barked
barns,barn,barned
barnstorms,barnstorm,barnstormed
barracks,barrack,barracked
barrages,barrage,barraged
barrels,barrel,barreled
barricades,barricade,barricaded
bars,bar,barred
barters,barter,bartered
bases,base,based
bashes,bash,bashed
baskets,basket,basketed
basks,bask,basked
bastardizes,bastardize,bastardized
bastes,baste,basted
batches,batch,batched
bates,bate,bated
bathes,bathe,bathed
baths,bath,bathed
bats,bat,batted
battens,batten,battened
batters,batter,battered
battles,battle,battled
bawls,bawl,bawled
bayonets,bayonet,bayoneted
bays,bay,bayed
beaches,beach,beached
beads,bead,beaded
beams,beam,beamed
beards,beard,bearded
bears,bear,bore
beatifies,beatify,beatified
beats,beat,beat
beautifies,beautify,beautified
beavers,beaver,beavered
becalms,becalm,becalmed
beckons,beckon,beckoned
becomes,become,became
bedazzles,bedazzle,bedazzled
bedecks,bedeck,bedecked
bedevils,bedevil,bedeviled
beds,bed,bedded
beefs,beef,beefed
beetles,beetle,beetled
befalls,befall,befell
befits,befit,befitted
befouls,befoul,befouled
befriends,befriend,befriended
befuddles,befuddle,befuddled
begets,beget,begot
beggars,beggar,beggared
begins,begin,began
begrudges,begrudge,begrudged
begs,beg,begged
beguiles,beguile,beguiled
behaves,behave,behaved
beheads,behead,beheaded
beholds,behold,beheld
behooves,behoove,behooved
belabors,belabor,belabored
belays,belay,belayed
belches,belch,belched
beleaguers,beleaguer,beleaguered
believes,believe,believed
belittles,belittle,belittled
bellies,belly,bellied
bellows,bellow,bellowed
bells,bell,belled
bellyaches,bellyache,bellyached
belongs,belong,belonged
belts,belt,belted
bemoans,bemoan,bemoaned
bemuses,bemuse,bemused
bends,bend,bent
benefices,benefice,beneficed
benefits,benefit,benefited
benumbs,benumb,benumbed
bequeaths,bequeath,bequeathed
berates,berate,berated
bereaves,bereave,bereft
berries,berry,berried
berths,berth,berthed
beseeches,beseech,besought
besets,beset,beset
besieges,besiege,besieged
besmirches,besmirch,besmirched
bespeaks,bespeak,bespoke
bestirs,bestir,bestirred
bestows,bestow,bestowed
bestrides,bestride,betrode
bests,best,bested
betokens,betoken,betokened
betrays,betray,betrayed
betroths,betroth,betrothed
bets,bet,bet
betters,better,bettered
bevels,bevel,beveled
bewails,bewail,bewailed
bewilders,bewilder,bewildered
bewitches,bewitch,bewitched
biases,bias,biased
bibs,bib,bibbed
bickers,bicker,bickered
bicycles,bicycle,bicycled
bides,bide,boded
bids,bid,bade
bifurcates,bifurcate,bifurcated
bikes,bike,biked
bilks,bilk,bilked
billets,billet,billeted
billows,billow,billowed
bills,bill,billed
binds,bind,bound
binges,binge,binged
bins,bin,binned
biopsies,biopsy,biopsied
birches,birch,birched
bisects,bisect,bisected
bitches,bitch,bitched
bites,bite,bit
bivalves,bivalve,bivalved
bivouacs,bivouac,bivouacked
blabs,blab,blabbed
blackballs,blackball,blackballed
blackens,blacken,blackened
blackmails,blackmail,blackmailed
blacks,black,blacked
blames,blame,blamed
blanches,blanch,blanched
blankets,blanket,blanketed
blanks,blank,blanked
blares,blare,blared
blasphemes,blaspheme,blasphemed
blasts,blast,blasted
blazes,blaze,blazed
bleaches,bleach,bleached
bleats,bleat,bleated
bleeds,bleed,bled
blemishes,blemish,blemished
blenches,blench,blenched
blends,blend,blended
blesses,bless,blessed
blights,blight,blighted
blindfolds,blindfold,blindfolded
blinds,blind,blinded
blinkers,blinker,blinkered
blinks,blink,blinked
blisters,blister,blistered
blitzes,blitz,blitzed
bloats,bloat,bloated
blobs,blob,blobbed
blockades,blockade,blockaded
blocks,block,blocked
bloodies,bloody,bloodied
bloods,blood,blooded
blooms,bloom,bloomed
blossoms,blossom,blossomed
blots,blot,blotted
blouses,blouse,bloused
blows,blow,blew
blubbers,blubber,blubbered
bludgeons,bludgeon,bludgeoned
blues,blue,blued
bluffs,bluff,bluffed
blunders,blunder,blundered
blunts,blunt,blunted
blurs,blur,blurred
blurts,blurt,blurted
blushes,blush,blushed
blusters,bluster,blustered
boards,board,boarded
boasts,boast,boasted
boats,boat,boated
bobs,bob,bobbed
bobsleds,bobsled,bobsledded
bodes,bode,boded
bogarts,bogart,bogarted
boggles,boggle,boggled
bogs,bog,bogged
boils,boil,boiled
bolls,boll,bolled
bolsters,bolster,bolstered
bolts,bolt,bolted
bombards,bombard,bombarded
bombs,bomb,bombed
bonds,bond,bonded
bones,bone,boned
boobs,boob,boobed
bookmarks,bookmark,bookmarked
books,book,booked
boomerangs,boomerang,boomeranged
booms,boom,boomed
boos,boo,booed
boosters,booster,boostered
boosts,boost,boosted
bootlegs,bootleg,bootlegged
boots,boot,booted
bootstraps,bootstrap,bootstrapped
boozes,booze,boozed
bops,bop,bopped
borders,border,bordered
bores,bore,bored
borrows,borrow,borrowed
bosses,boss,bossed
botches,botch,botched
bothers,bother,bothered
bottlenecks,bottleneck,bottlenecked
bottles,bottle,bottled
bottoms,bottom,bottomed
bounces,bounce,bounced
bounds,bound,bounded
bowls,bowl,bowled
bows,bow,bowed
boxes,box,boxed
boycotts,boycott,boycotted
braces,brace,braced
brackets,bracket,bracketed
brags,brag,bragged
braids,braid,braided
brains,brain,brained
brainwashes,brainwash,brainwashed
braises,braise,braised
brakes,brake,braked
branches,branch,branched
brandishes,brandish,brandished
brands,brand,branded
braves,brave,braved
brawls,brawl,brawled
brays,bray,brayed
brazens,brazen,brazened
breaches,breach,breached
breakfasts,breakfast,breakfasted
breaks,break,broke
breasts,breast,breasted
breathes,breathe,breathed
breeds,breed,bred
breezes,breeze,breezed
brews,brew,brewed
bribes,bribe,bribed
bricks,brick,bricked
bridges,bridge,bridged
bridles,bridle,bridled
briefs,brief,briefed
brightens,brighten,brightened
brims,brim,brimmed
brines,brine,brined
brings,bring,brought
bristles,bristle,bristled
broaches,broach,broached
broadcasts,broadcast,broadcasted
broadens,broaden,broadened
broadsides,broadside,broadsided
